manga_id,url_manga,title,title_english,title_japanese,chapters,volumes,status,start_published,end_published,score,rank,authors,genres,themes
171,https://myanimelist.net/manga/171/Deai,Deai,Confidential Confessions: Deai,であい,8.0,2.0,Finished,,,7.24,5436.0,"['Momochi, Reiko']",['Drama'],[]
172,https://myanimelist.net/manga/172/Corrector_Yui,Corrector Yui,Corrector Yui,コレクター・ユイ,11.0,5.0,Finished,1999-04-01T00:00:00+00:00,1999-12-01T00:00:00+00:00,6.73,12624.0,"['Okamoto, Keiko', 'Asamiya, Kia']","['Comedy', 'Fantasy', 'Sci-Fi']",['Strategy Game']
173,https://myanimelist.net/manga/173/Cowboy_Bebop,Cowboy Bebop,Cowboy Bebop,カウボーイビバップ,11.0,3.0,Finished,1999-04-08T00:00:00+00:00,2000-04-10T00:00:00+00:00,7.15,6599.0,"['Watanabe, Shinichirou', 'Nanten, Yutaka', 'Yatate, Hajime']","['Action', 'Adventure', 'Sci-Fi']",['Adult Cast']
174,https://myanimelist.net/manga/174/Shooting_Star_Bebop__Cowboy_Bebop,Shooting Star Bebop: Cowboy Bebop,Cowboy Bebop: Shooting Star,シューティングスタービバップ―カウボーイビバップ,10.0,2.0,Finished,1998-05-01T00:00:00+00:00,1998-10-10T00:00:00+00:00,6.7,13002.0,"['Kuga, Cain']","['Action', 'Adventure', 'Sci-Fi']",['Adult Cast']
175,https://myanimelist.net/manga/175/Touhou_Sangetsusei__Eastern_and_Little_Nature_Deity,Touhou Sangetsusei: Eastern and Little Nature Deity,,東方三月精 Eastern and Little Nature Deity,5.0,1.0,Finished,2005-03-26T00:00:00+00:00,2006-03-25T00:00:00+00:00,7.05,7913.0,"['ZUN', 'Matsukura, Nemu']","['Comedy', 'Fantasy']",[]
176,https://myanimelist.net/manga/176/Chocotto_Sister,Chocotto Sister,Chocotto Sister,ちょこッとSister,71.0,8.0,Finished,2003-12-19T00:00:00+00:00,2007-04-27T00:00:00+00:00,7.1,7222.0,"['Zappa, Gou', 'Takeuchi, Sakura']","['Comedy', 'Romance', 'Slice of Life', 'Ecchi']",[]
177,https://myanimelist.net/manga/177/Tsuiteru_Kanojo,Tsuiteru Kanojo,,ツイてるカノジョ,9.0,2.0,Finished,2004-08-09T00:00:00+00:00,2005-06-09T00:00:00+00:00,6.96,9257.0,"['Zappa, Gou', 'Fujima, Takuya']","['Comedy', 'Drama', 'Romance', 'Supernatural', 'Ecchi']",[]
178,https://myanimelist.net/manga/178/Bokutachi_wa_Asu_ni_Mukatte_Ikiru_no_da,Bokutachi wa Asu ni Mukatte Ikiru no da,Living for Tomorrow,僕たちは明日に向かって生きるのだ,7.0,1.0,Finished,2005-01-31T00:00:00+00:00,,7.31,,"['Tsuda, Mikiyo']","['Boys Love', 'Drama', 'Romance', 'Erotica']",[]
179,https://myanimelist.net/manga/179/Color,Color,Color,カラー,5.0,1.0,Finished,1999-02-01T00:00:00+00:00,,7.18,,"['Tsuda, Mikiyo', 'Eiki, Eiki']","['Boys Love', 'Romance', 'Erotica']",['School']
180,https://myanimelist.net/manga/180/Zurui_Otoko,Zurui Otoko,,ズルい男,6.0,1.0,Finished,2001-01-01T00:00:00+00:00,,6.23,,"['Hanafubuki, Sakurako']","['Boys Love', 'Erotica']",[]
181,https://myanimelist.net/manga/181/Zombieya_Reiko,Zombieya Reiko,Reiko the Zombie Shop,ゾンビ屋れい子,58.0,11.0,Finished,1998-06-06T00:00:00+00:00,2004-03-06T00:00:00+00:00,7.02,8378.0,"['Mikamoto, Rei']",['Horror'],[]
182,https://myanimelist.net/manga/182/Zombie_Hunter,Zombie Hunter,,死霊狩り,26.0,4.0,Finished,1999-01-01T00:00:00+00:00,2000-01-01T00:00:00+00:00,6.75,12273.0,"['Hirai, Kazumasa', 'Yang, Kyung-il']","['Action', 'Horror']",[]
